TH|6034565:1|60433365:1|32462330:1|51717802:1|43433768:1|45689241:1|35579418:1|60589430:1|22339267:1|47525077:1|8155074:1|11513990:1|47551919:1|77869029:1|9372031:1|51896393:1|16730391:1|76176301:1|16251631:1|20537029:1|2068969:1|75055835:1|75295948:1|42242001:1|44057235:1|49888869:1|32045099:1|38519410:1|78744381:1|61645968:1|7984583:1|4488600:1|58373316:1|24598170:1|55127098:1|75047974:1|78663444:1|64352285:1|11234797:1|48917371:1|23603659:1|77684612:1|3151641:1|45952323:1|8513429:1|1737979:1|63510420:1|44252207:1|76518269:1|55862745:1
TL|16254981:2|7465895:1|40827758:1|51373798:1|52931476:1|76291286:1|60582933:1|3881770:1|53174717:1|74338389:1|70277674:1|11343400:1|60994461:1|22019071:1|72673661:1|50586874:1|71152081:1|51873534:1|49186379:1|58531243:1|55582136:1|19926771:1|42315031:1|10146677:1|38291390:1|52684473:1|46388117:1|48669185:1|58745965:1|37565764:1|73192278:1|65480141:1|6389021:1|5617433:1|25911984:1|54158149:1|55068174:1|46386752:1|73881425:1|40008225:1|73582737:1|41026768:1|36501106:1|72577638:1|79511097:1|51493423:1|33815663:1|32838770:1|74407540:1|26525303:1
TF|40600330:1|54051685:1|78749235:1|50122509:1|7580557:1|27930588:1|44175989:1|66287483:1|60698693:1|22895163:1|3789893:1|77183041:1|61286803:1|54326126:1|31046388:1|25148569:1|4219179:1|77994293:1|1991023:1|62994667:1|46468468:1|73613246:1|76794498:1|19562826:1|3809797:1|71696736:1|53287187:1|31452256:1|79559481:1|2315532:1|54278054:1|22905406:1|64505208:1|48117176:1|16913670:1|44752658:1|5492954:1|30896113:1|43497141:1|29145094:1|41169907:1|52746827:1|2643312:1|21482819:1|42800276:1|72869411:1|16142013:1|2846999:1|42183615:1|16698880:1
KP|29812179:2|16971947:1|56827854:1|30973406:1|57735520:1|14886043:1|3789718:1|48786765:1|58021525:1|14317949:1|58922507:1|62443573:1|37542150:1|72065055:1|23560584:1|17237723:1|7713872:1|31738443:1|35621465:1|4080706:1|69120135:1|55766885:1|79716601:1|24033456:1|74858324:1|40271245:1|40031166:1|66830768:1|50616108:1|5301858:1|73222418:1|12894267:1|3746344:1|15094704:1|79479655:1|25882322:1|43463149:1|78598614:1|29188776:1|62919420:1|57856213:1|22832145:1|18239403:1|6154580:1|6694692:1|15133124:1|59108486:1|70283652:1|77584727:1|60272811:1
TT|17452360:2|59860544:1|3519309:1|40014239:1|1741094:1|35093771:1|21039966:1|70439037:1|31559313:1|63858597:1|9968276:1|47201670:1|41084705:1|45534510:1|46990796:1|47355870:1|29471382:1|3411908:1|55212634:1|22805566:1|49416519:1|27769834:1|5661988:1|44292394:1|72373668:1|25959336:1|48896456:1|45062936:1|77216240:1|53467265:1|55787941:1|71611696:1|18156493:1|32887932:1|67172384:1|3791666:1|27945813:1|4609420:1|7940453:1|43726402:1|66451872:1|8398321:1|35632292:1|9106320:1|65307162:1|11082872:1|72692483:1|35426556:1|43979149:1|52018050:1
GA|12909510:1|63832938:1|37506979:1|12365269:1|50307371:1|46192170:1|44218582:1|29588087:1|3479558:1|21044409:1|48393119:1|60754148:1|40143302:1|39875238:1|41824598:1|36402005:1|41599082:1|12134143:1|44949189:1|15378131:1|30750932:1|21333972:1|13243126:1|36273315:1|26570088:1|72724011:1|2248537:1|42297231:1|75600174:1|64733747:1|19600516:1|57507428:1|54034298:1|8113088:1|33665411:1|20510272:1|5259817:1|74420842:1|28361542:1|31399318:1|15556483:1|41321764:1|44534187:1|23657760:1|76911727:1|11095206:1|72886132:1|12519136:1|11729305:1|34652118:1
MK|16127070:2|76398458:1|41047964:1|15834058:1|14567980:1|37442898:1|19572186:1|37185221:1|55619835:1|61626435:1|13616988:1|8563523:1|77911585:1|77485908:1|7040714:1|46724674:1|20765595:1|78730712:1|71776199:1|46548049:1|71691686:1|644632:1|70353226:1|72739603:1|60360160:1|32187671:1|76645873:1|16251334:1|50432199:1|18695309:1|25101038:1|55238504:1|29905528:1|21417831:1|10172470:1|64754508:1|67195794:1|2879073:1|33535265:1|75563408:1|41214041:1|14508900:1|27671532:1|72754300:1|1494283:1|43693720:1|21636021:1|76961919:1|69201818:1|27944269:1
NL|12858761:1|27332637:1|65780609:1|61888197:1|62079440:1|9578916:1|15778924:1|36921822:1|8679114:1|13283401:1|62228351:1|35712529:1|56361554:1|7894297:1|3429870:1|2755811:1|13444826:1|32842503:1|62851109:1|77614678:1|1630982:1|62853342:1|3488856:1|15736847:1|77175259:1|52068962:1|62244453:1|56721273:1|49049177:1|48215879:1|52221360:1|54621711:1|33045199:1|21732562:1|32950235:1|15546121:1|67670833:1|39168050:1|54427607:1|35024493:1|66897682:1|32759584:1|18582168:1|78958446:1|51130178:1|71136147:1|42037314:1|46943587:1|46132636:1|68861043:1
TD|53163459:2|72395136:2|23514297:1|45285972:1|16599253:1|2743360:1|30402664:1|9109722:1|75318264:1|62955654:1|50789931:1|27523915:1|38785568:1|49117526:1|33442530:1|62207308:1|76294927:1|10470900:1|52833833:1|40960967:1|73296791:1|32006719:1|38517069:1|70279317:1|78081284:1|61947369:1|72145918:1|53310607:1|4879229:1|55478119:1|75748850:1|12044054:1|16195462:1|10606953:1|74072155:1|86917:1|12157087:1|50275681:1|50504036:1|21272266:1|22592811:1|7275749:1|35350565:1|34692419:1|21454363:1|79603259:1|1259372:1|74219943:1|47882762:1|47087341:1
LR|41853650:2|70435082:1|56936493:1|52337393:1|48651365:1|53885150:1|67827315:1|38229569:1|13937060:1|30559885:1|36769602:1|28274553:1|73634148:1|62525936:1|45256532:1|45351152:1|32904280:1|60535111:1|60784992:1|65353410:1|61527995:1|65839612:1|26140641:1|7757660:1|49622071:1|45973659:1|41129427:1|73814154:1|63813356:1|63347257:1|24757551:1|58821118:1|67086900:1|30982946:1|13639165:1|76866108:1|17803680:1|34889126:1|74525763:1|2488660:1|68940655:1|76097088:1|23768422:1|40377272:1|19854965:1|18936210:1|5650758:1|6344842:1|66203625:1|59811725:1
MO|49666226:2|40554184:1|52438190:1|5437110:1|49896057:1|61440153:1|24800643:1|14677542:1|23960156:1|60310033:1|68742578:1|46233221:1|67443197:1|37661557:1|31609227:1|46125491:1|1485111:1|56838570:1|41212763:1|57304140:1|64700177:1|13159480:1|5997321:1|17443326:1|67755373:1|43799179:1|47678796:1|26242992:1|70499977:1|68900356:1|22588115:1|78918459:1|22344137:1|37309747:1|17810443:1|23336577:1|16757682:1|68887097:1|19402101:1|78755746:1|73031702:1|36453729:1|68306788:1|48494331:1|48633215:1|6003754:1|33519213:1|34332953:1|6149461:1|65772922:1
AQ|38874474:2|26997326:1|10388067:1|71549002:1|7751311:1|48621713:1|17183708:1|32628117:1|24658230:1|59735331:1|29044819:1|49122273:1|62658214:1|19445496:1|77883176:1|49962753:1|45125645:1|49096399:1|77950966:1|44516308:1|25076031:1|59698952:1|1320748:1|22589717:1|34677220:1|62241328:1|60544776:1|30684687:1|36465293:1|28718922:1|33263367:1|76013775:1|38255294:1|1275593:1|30495894:1|36296721:1|8194127:1|20032850:1|7622503:1|37258700:1|68376934:1|74964946:1|74699080:1|49827602:1|75505552:1|36599306:1|60545676:1|14506768:1|2807648:1|25741461:1
NC|33533277:1|32148653:1|20610956:1|65333734:1|64470515:1|40225753:1|3354521:1|44701276:1|6645744:1|46211169:1|8678115:1|46508506:1|77612117:1|62109426:1|73793186:1|41165397:1|52648939:1|1688238:1|9517387:1|15026870:1|47417861:1|25842344:1|15045402:1|77903984:1|9797307:1|821681:1|52623948:1|32035548:1|29382426:1|3334553:1|18386279:1|32646997:1|2011264:1|48468764:1|6624426:1|16571866:1|21311584:1|824801:1|59332781:1|40987235:1|40686791:1|15994971:1|8204263:1|33104050:1|9790415:1|55062017:1|36551799:1|70835713:1|78472257:1|49447381:1
IQ|21393981:1|43395545:1|14812576:1|53790871:1|36178283:1|2037654:1|27513047:1|60831997:1|61417053:1|43278967:1|52359908:1|46565343:1|46605473:1|55113448:1|54292723:1|3899627:1|23418726:1|50795484:1|21523885:1|36563388:1|45737736:1|29426405:1|9572977:1|60058724:1|34638513:1|68635878:1|5961107:1|61064840:1|52050762:1|11007167:1|61575270:1|36378175:1|8212524:1|56760443:1|24723552:1|337643:1|58765612:1|51549334:1|12147292:1|22974317:1|45587223:1|39678708:1|6904197:1|24346862:1|41048941:1|9923224:1|5046053:1|22912705:1|49087128:1|39357230:1
AE|56290932:1|52535434:1|74233740:1|1135740:1|49897990:1|72420175:1|54292988:1|71224268:1|24937467:1|67118390:1|11766879:1|2236338:1|35170267:1|78401863:1|37205587:1|39306261:1|78422399:1|75472332:1|52990065:1|3534747:1|42340406:1|41668250:1|27870010:1|31641473:1|55877777:1|3656860:1|65569548:1|54251134:1|72273936:1|20703086:1|39098931:1|71707420:1|2772479:1|46182223:1|4950209:1|53313946:1|40082272:1|24910605:1|79886297:1|19565673:1|10853780:1|37492569:1|37971993:1|4008801:1|33411431:1|20175213:1|19444181:1|45141427:1|45420204:1|6551819:1
NE|58445971:2|17594456:1|28985975:1|32134669:1|38026739:1|59960668:1|58184020:1|43901723:1|56942898:1|53680047:1|51899460:1|4110174:1|76108348:1|31158641:1|73468008:1|27920468:1|53990426:1|35202578:1|42066387:1|41010298:1|55437405:1|18252090:1|21408085:1|28616753:1|11419426:1|55804427:1|14325832:1|31711881:1|60837125:1|15171864:1|20752643:1|49848788:1|67009478:1|47652032:1|59960312:1|50579433:1|37816133:1|45392786:1|68539425:1|54091109:1|21797334:1|57141421:1|39691704:1|23805055:1|11875666:1|22718619:1|27820555:1|9746764:1|5820014:1|44359847:1
SI|52908766:1|75257436:1|54929214:1|63395321:1|12046258:1|4203255:1|33892977:1|14514713:1|66331725:1|65511415:1|64723185:1|32803182:1|55732325:1|73734406:1|43489928:1|33773857:1|2074978:1|20932544:1|19519297:1|39635176:1|10115537:1|33152982:1|78070067:1|56187559:1|15795830:1|8219884:1|51481235:1|25280453:1|10817722:1|50511414:1|28999608:1|37253788:1|1770696:1|46920927:1|35466227:1|44995111:1|63056391:1|20484763:1|27603929:1|40315759:1|27829752:1|71959918:1|38301273:1|19785362:1|30348123:1|37555405:1|59504305:1|67215102:1|36616542:1|78512000:1
CD|67418734:1|44880960:1|46419975:1|78188680:1|78355256:1|57254178:1|1737650:1|58180411:1|29054677:1|20104895:1|44844142:1|69402008:1|45914377:1|38156354:1|36508847:1|31216937:1|38202767:1|57504236:1|20631494:1|16808218:1|42837654:1|5668201:1|3858971:1|25418423:1|77529281:1|74250761:1|17280869:1|6336508:1|43919805:1|27914712:1|23205563:1|187981:1|51983115:1|43265287:1|54674100:1|79695991:1|25616861:1|73623434:1|30312957:1|50326016:1|39759853:1|3219044:1|42257803:1|25260381:1|17237463:1|14834031:1|60574678:1|45936303:1|52428678:1|49551707:1
IR|31363019:2|16730402:2|56338547:1|71351138:1|74402414:1|8694325:1|70881242:1|45745113:1|50628423:1|6644484:1|1886334:1|6192048:1|11744780:1|28131517:1|78995031:1|30714142:1|43460136:1|72663443:1|55065770:1|78866164:1|62786233:1|73034576:1|17141097:1|6123750:1|20219914:1|37886021:1|74124811:1|38211713:1|11654564:1|30276753:1|75183550:1|13305662:1|78130541:1|65535761:1|70496245:1|13987535:1|56216105:1|10475431:1|32418943:1|48710712:1|58739072:1|67329891:1|2894648:1|5024415:1|32027022:1|32662167:1|34993692:1|19610238:1|65419505:1|71438861:1
DJ|21135092:1|36248346:1|17129799:1|46299513:1|60628077:1|6129629:1|7208616:1|73698854:1|72599187:1|77243823:1|41114096:1|49892803:1|71772176:1|38114004:1|1184672:1|52791102:1|31583864:1|12672120:1|21279846:1|8961673:1|53552778:1|20560065:1|803968:1|50642296:1|68219381:1|36157399:1|6654351:1|24671155:1|25735910:1|46355206:1|1886525:1|29373928:1|16958268:1|29823371:1|33737161:1|12185495:1|38060364:1|8633872:1|37370135:1|53359602:1|43907553:1|49030269:1|56176066:1|19089460:1|42304157:1|67809738:1|26314693:1|57602989:1|28408648:1|47579253:1
MT|47627370:1|70995661:1|53135618:1|3861811:1|47918705:1|19884963:1|70569673:1|19549802:1|15048962:1|33583888:1|52755998:1|20593367:1|55319627:1|65584778:1|21192543:1|44210119:1|46160404:1|57434869:1|74713049:1|22258300:1|22863656:1|76299152:1|37555721:1|45587483:1|42242400:1|62843111:1|66595842:1|66463249:1|23734610:1|42676324:1|49538158:1|22879235:1|3100445:1|59387317:1|26347631:1|72973505:1|65930315:1|44586820:1|61290487:1|4760039:1|68496581:1|59517973:1|57734445:1|29016098:1|77489313:1|51449825:1|39137970:1|601101:1|24913130:1|242984:1
GE|26203458:1|7262773:1|3738526:1|24897275:1|31489100:1|61132303:1|44600785:1|49219789:1|2723995:1|1319192:1|79607674:1|49115238:1|7248577:1|29572908:1|4612386:1|40624975:1|29556782:1|20398174:1|47622710:1|43775560:1|3685547:1|68383368:1|18785999:1|57906803:1|19239500:1|5944394:1|43486650:1|43642658:1|38519106:1|75252768:1|59321687:1|12721602:1|77829737:1|35230157:1|79469185:1|67824324:1|74343861:1|9160185:1|596944:1|3669705:1|15746544:1|6009371:1|56631893:1|34054358:1|70631957:1|7262040:1|20315293:1|35309139:1|60087888:1|60791991:1
DZ|18602604:2|12197653:1|52458570:1|61512165:1|37451991:1|75217217:1|52916739:1|21875904:1|45411783:1|22115357:1|62223607:1|69413329:1|58292335:1|26470136:1|71723953:1|77245164:1|50427975:1|70812935:1|11840910:1|47005225:1|46547090:1|53859218:1|52523321:1|15326977:1|5078545:1|53784436:1|12694557:1|50133309:1|12120521:1|17166492:1|75038382:1|13097895:1|32110500:1|34447921:1|5255604:1|64439410:1|51710778:1|40317606:1|4630054:1|50913363:1|48365735:1|55262568:1|78123758:1|20028272:1|5168989:1|39399348:1|19612344:1|58097011:1|38276744:1|43933541:1
PH|48667034:2|67585762:1|4965094:1|69821709:1|11849799:1|73390750:1|19721610:1|10150537:1|37492784:1|67345100:1|76190449:1|5353213:1|30715749:1|66664707:1|66835165:1|66526884:1|67106690:1|30011330:1|13498437:1|22429274:1|62444764:1|29693528:1|72833146:1|51864417:1|44910967:1|47963439:1|23106770:1|20126831:1|34658715:1|69116769:1|40696939:1|19640627:1|2775214:1|46425000:1|45775630:1|9675792:1|44228581:1|837090:1|59824420:1|4363075:1|33197613:1|19179644:1|12054962:1|66141071:1|46752425:1|70710135:1|2542623:1|66259490:1|8241409:1|10988222:1
BY|70877794:1|7226790:1|12424540:1|6509443:1|5133803:1|29873522:1|39870543:1|53961640:1|19622519:1|51828401:1|19758604:1|48378586:1|58124195:1|35522991:1|72385196:1|39956047:1|8685444:1|6199604:1|63963632:1|64987128:1|69031193:1|53922341:1|8067744:1|32993940:1|68369857:1|59375640:1|29576828:1|4500508:1|68797313:1|57083440:1|48951217:1|7098143:1|20697695:1|39463328:1|33496002:1|29997555:1|65143184:1|74805890:1|19193631:1|11366041:1|58680067:1|8580980:1|34622534:1|70626142:1|63223167:1|4450907:1|3855703:1|16152303:1|71247911:1|19639825:1
NO|59654879:1|41136286:1|37603524:1|36830337:1|24148975:1|45982245:1|55864266:1|28067012:1|30209274:1|59266667:1|570569:1|12649725:1|76337207:1|26983806:1|47658109:1|5016114:1|17252694:1|32144020:1|23792375:1|63594749:1|39102904:1|75197625:1|61094501:1|60669798:1|51362618:1|35042031:1|71159512:1|22723833:1|77205821:1|18452226:1|28708066:1|66394976:1|27457299:1|77952660:1|71571539:1|5081085:1|2392792:1|72385006:1|865862:1|12897853:1|75945124:1|69849524:1|70479543:1|18027831:1|65991481:1|28009544:1|40075991:1|51441966:1|61835522:1|75176104:1
KI|11380598:1|20806264:1|22275682:1|21706160:1|59057051:1|35767394:1|23347243:1|9987003:1|1177925:1|31889387:1|35176188:1|8866161:1|19311289:1|69529979:1|30594654:1|55569963:1|29240571:1|30250555:1|66155273:1|21114169:1|72830396:1|29948582:1|44254074:1|60672596:1|9875194:1|967149:1|39016472:1|46601245:1|63040037:1|75755499:1|47761340:1|26111523:1|45237922:1|35620734:1|79756107:1|615022:1|65655374:1|74740112:1|15507695:1|19049047:1|20203011:1|40231357:1|53046159:1|4180851:1|41770296:1|49743398:1|74943801:1|22892867:1|2785813:1|76522880:1
BF|71624555:1|59737940:1|71413248:1|65888863:1|60864449:1|50045661:1|78043594:1|63028749:1|15219656:1|46888942:1|22601397:1|28440943:1|76669781:1|22362880:1|22032130:1|72444544:1|47094926:1|16708530:1|19830856:1|7818008:1|14932201:1|41278355:1|27801892:1|11904161:1|50390851:1|42634840:1|33277134:1|2907306:1|15017140:1|3709184:1|36112684:1|28431561:1|30744227:1|23687415:1|11562657:1|13313859:1|48888015:1|1131756:1|55460566:1|17799822:1|25588270:1|42669583:1|38782843:1|35084008:1|7007684:1|75773947:1|79691712:1|48568646:1|4704831:1|47534757:1
NG|41005503:1|31075351:1|5983483:1|40004170:1|48341706:1|32222916:1|15255369:1|43113385:1|5114670:1|52485988:1|11478766:1|77023242:1|30761413:1|40239462:1|45347743:1|62047657:1|65649891:1|62049192:1|57594015:1|56520893:1|10598204:1|62009589:1|5989471:1|34639642:1|16719709:1|5157534:1|69246312:1|19862980:1|32713379:1|2483842:1|5156217:1|43841918:1|42487853:1|74780697:1|75015139:1|43850967:1|31519638:1|63885534:1|11745270:1|40724916:1|64442875:1|24793087:1|38787395:1|22674124:1|23962550:1|26152869:1|4482182:1|12483296:1|29831822:1|7519181:1
AS|73247508:1|54660406:1|1120576:1|20755922:1|48231768:1|32980201:1|11966221:1|77872791:1|4937380:1|59686078:1|13942152:1|8442762:1|60786851:1|11231820:1|2326748:1|7077139:1|29360695:1|26997778:1|23432795:1|28979813:1|34396709:1|29744710:1|33506757:1|29836737:1|48318119:1|74506511:1|44446323:1|22822583:1|15781009:1|59611602:1|14633883:1|29565278:1|5794743:1|10552189:1|57067944:1|5242324:1|26049886:1|10471316:1|45115748:1|33825304:1|66947884:1|63860622:1|63598736:1|9814849:1|17266983:1|51143959:1|4470679:1|79453459:1|65306398:1|35220686:1
KG|78621921:1|46605399:1|16464046:1|34441131:1|23742630:1|75040863:1|73053898:1|54647273:1|20526757:1|32924535:1|6510416:1|3119176:1|29229050:1|56967197:1|1727476:1|6117464:1|52441342:1|2092968:1|30020571:1|1158418:1|19735228:1|16040596:1|36849408:1|69243004:1|76533601:1|24256986:1|57971884:1|50970901:1|6339132:1|8541654:1|15695716:1|29807487:1|49551991:1|20972280:1|14381886:1|66092161:1|42607099:1|36888981:1|51198043:1|64415135:1|14510541:1|7352860:1|40723783:1|22810841:1|22755379:1|73308978:1|25006416:1|33858247:1|52174836:1|25176103:1
LV|13453379:1|79112673:1|40497039:1|47751140:1|57332989:1|43746687:1|41186094:1|12431780:1|27159734:1|2095767:1|9852849:1|17714143:1|54910489:1|21625667:1|30872603:1|52174814:1|47663450:1|30322313:1|49392297:1|41730952:1|23656677:1|5032225:1|43764782:1|74460063:1|75660701:1|31757527:1|65375522:1|70147124:1|64281609:1|52408129:1|63490459:1|72159105:1|61106802:1|19812045:1|14013491:1|45896131:1|57811276:1|615815:1|75966195:1|23047902:1|41050849:1|1446229:1|3523692:1|14867066:1|56104423:1|46987556:1|11613435:1|9289582:1|77417515:1|65139461:1
GY|58014409:2|74348406:1|73687194:1|19691096:1|10625661:1|76835580:1|47167611:1|73417619:1|54499161:1|22051261:1|23364528:1|44306193:1|61253428:1|69388256:1|31093730:1|64537084:1|32986824:1|3572958:1|31402644:1|66279337:1|59391241:1|64804740:1|49136034:1|35086010:1|33115724:1|14827247:1|60410849:1|58267619:1|55667727:1|65809672:1|27400766:1|73638379:1|4457099:1|53450482:1|30287751:1|43368095:1|47173195:1|12184927:1|3082192:1|15931741:1|38211564:1|5693422:1|22876272:1|20096276:1|70545316:1|13287330:1|28626415:1|11249515:1|67955080:1|27308378:1
PT|64150799:1|12304678:1|75504892:1|58509611:1|62995604:1|35785337:1|23481262:1|63341414:1|36746038:1|49552699:1|24610597:1|9559881:1|60812342:1|7621849:1|20220528:1|70776331:1|45179517:1|56810243:1|64578219:1|17762443:1|11753155:1|23186127:1|35890232:1|23977026:1|68004:1|65776228:1|41017360:1|58774523:1|29007011:1|12298631:1|34279001:1|22399111:1|23798240:1|30484366:1|60070908:1|69776517:1|11951588:1|26043508:1|8382472:1|19199120:1|67162897:1|18061807:1|52516120:1|59387975:1|6094290:1|38122058:1|27127766:1|70331496:1|4719549:1|65077836:1
MD|71646534:1|6247251:1|77797429:1|14338984:1|16087549:1|24092072:1|4250735:1|76787094:1|13772805:1|73396454:1|30928407:1|30811819:1|24809838:1|72043547:1|14350739:1|57990148:1|22882285:1|1273002:1|20602941:1|19205686:1|24254709:1|29932810:1|14319340:1|61655785:1|40065098:1|66652307:1|3035893:1|19576731:1|24013080:1|60646070:1|46575867:1|36506431:1|36157906:1|3009414:1|42191550:1|34338579:1|46726941:1|15800829:1|11718374:1|533320:1|30310552:1|73319420:1|16184794:1|46276527:1|45243086:1|56446038:1|72539450:1|1849678:1|75783994:1|23606725:1
LK|198578:1|3976434:1|65590883:1|15190162:1|17789291:1|42198049:1|12418469:1|46680439:1|58748793:1|39417054:1|8009467:1|22624340:1|7958325:1|68905160:1|58360420:1|51761957:1|129388:1|6517759:1|46198397:1|37736260:1|72318440:1|59515050:1|62841088:1|50753885:1|31735623:1|55774084:1|22393830:1|9771502:1|60513220:1|32051819:1|60465127:1|2113354:1|18286674:1|64804444:1|72793351:1|62956357:1|31017371:1|47797715:1|6690260:1|52933908:1|60448598:1|42168426:1|38001598:1|9512280:1|41042302:1|31091574:1|71611481:1|17937491:1|40777975:1|47575793:1
SH|22028611:1|21679657:1|26408139:1|73962453:1|3237931:1|16023049:1|59898520:1|49369176:1|35117161:1|28958473:1|41233065:1|71515509:1|41511166:1|9916556:1|46990448:1|23094616:1|66211799:1|38020764:1|59157646:1|46752168:1|28788061:1|83980:1|26717615:1|55950469:1|20607710:1|6254044:1|67669300:1|31501469:1|3080583:1|68955359:1|19196450:1|64459118:1|36858093:1|29177632:1|58234913:1|68873029:1|50022883:1|20682310:1|16775264:1|20245244:1|66198223:1|20248600:1|45434747:1|41116433:1|2540675:1|43006375:1|67679922:1|17647530:1|72258047:1|62829202:1
PR|44892719:1|75162835:1|40502940:1|19796340:1|2892866:1|64162756:1|53844060:1|20302357:1|64255580:1|10937413:1|27786383:1|37094615:1|68741218:1|10841019:1|27412798:1|33366825:1|2910533:1|8089358:1|53184009:1|54823369:1|72839909:1|24598316:1|4742476:1|26053022:1|47773260:1|20399860:1|6929870:1|497886:1|18090786:1|63245705:1|37606891:1|20311936:1|78516714:1|45883755:1|49592147:1|11852235:1|36188591:1|33598977:1|18209982:1|79229627:1|45667060:1|18388076:1|60639824:1|17404294:1|1681137:1|14594121:1|26986118:1|23736048:1|24770060:1|36315691:1
AO|22558777:1|28866193:1|79561879:1|45523869:1|55140224:1|18891710:1|45983029:1|41994931:1|72309590:1|69060445:1|69141073:1|73013099:1|37572184:1|16062263:1|29458805:1|51657458:1|24864094:1|71550505:1|48600912:1|66311200:1|500031:1|31516086:1|12363106:1|67980616:1|30596683:1|11593488:1|70162675:1|12485817:1|33295191:1|73396382:1|59727577:1|46387658:1|37504062:1|4731213:1|72495240:1|585824:1|1037084:1|20027208:1|7919353:1|359757:1|49676587:1|47574646:1|3612515:1|3225922:1|7852649:1|64838703:1|20629969:1|76496743:1|57194287:1|3313508:1
NR|68888644:1|3128193:1|76840647:1|70495240:1|61478371:1|24251698:1|56277542:1|70396228:1|43899951:1|3564:1|16680620:1|77151759:1|27941652:1|23854468:1|32731363:1|3000214:1|36770725:1|1567769:1|69940557:1|42992241:1|26548454:1|65769383:1|24835071:1|72031072:1|8225321:1|73001493:1|59780372:1|46108967:1|66252651:1|71324222:1|72019371:1|22783326:1|18179706:1|14501658:1|60606920:1|66274069:1|36178344:1|52923185:1|78015337:1|68980723:1|28454632:1|25326732:1|43915590:1|50092704:1|30245159:1|63453936:1|52220696:1|65344567:1|69022637:1|77242340:1
CM|72106950:2|59813514:1|13568925:1|52472551:1|78385330:1|65760316:1|43293709:1|11534591:1|71921862:1|9233100:1|38682005:1|39941173:1|64756360:1|15426291:1|69610175:1|7788102:1|49647234:1|36296877:1|5847530:1|6711538:1|51557737:1|74006238:1|10354292:1|28364106:1|73449826:1|67242622:1|24407300:1|39589120:1|30087147:1|17361155:1|6792052:1|58821233:1|65087048:1|74048337:1|47899805:1|73803596:1|72472817:1|8644775:1|16444807:1|32503874:1|76386840:1|69717224:1|43567114:1|40123262:1|2467204:1|21622703:1|16578441:1|30011425:1|17452871:1|60353382:1
FK|17127691:1|64245864:1|79937757:1|66744627:1|70423310:1|18362104:1|64698735:1|51651656:1|54517991:1|28628582:1|63250499:1|5048956:1|36161589:1|37380627:1|27067194:1|21352405:1|16197912:1|4125548:1|58047778:1|34910442:1|70418276:1|51793580:1|54772666:1|72117951:1|61537389:1|47133551:1|17656588:1|47002992:1|59313446:1|3596948:1|56429534:1|16120808:1|10414597:1|62259196:1|46735568:1|53444582:1|55228220:1|23029500:1|56054439:1|72616872:1|51554795:1|27815951:1|14199606:1|48923155:1|78049913:1|53600906:1|26178797:1|27915164:1|72671408:1|56618908:1
UA|70164526:2|45471683:1|29846628:1|76513559:1|75365172:1|12344386:1|19735020:1|65475798:1|8235768:1|26693207:1|10427269:1|54607507:1|41514949:1|43695960:1|15001209:1|24840386:1|77645411:1|70942064:1|70280456:1|6683422:1|9951164:1|70527043:1|42738300:1|48719579:1|78569466:1|46735633:1|54954172:1|5003376:1|49122663:1|71146594:1|16895568:1|57897262:1|8592185:1|75909987:1|317858:1|75705170:1|3237207:1|36000713:1|20076653:1|30048407:1|34080969:1|52005185:1|67665538:1|4722680:1|71898577:1|12678847:1|71408709:1|30866110:1|55244936:1|33802920:1
CO|3745923:1|44872441:1|30209684:1|40740270:1|44149040:1|42882592:1|20112934:1|5085221:1|47317264:1|32463105:1|8661947:1|27965099:1|42716923:1|58205347:1|54793615:1|74277978:1|31839612:1|30238717:1|11298986:1|8117119:1|67257234:1|10855899:1|9508787:1|20105073:1|49883787:1|45349866:1|16738640:1|54573952:1|35402562:1|8022682:1|64502665:1|31850124:1|32296948:1|34645252:1|59637034:1|35974898:1|53075848:1|64616405:1|76915257:1|37919707:1|35510852:1|79512118:1|75395464:1|10357217:1|75402353:1|5740656:1|46899766:1|58509527:1|22885386:1|26280802:1
KW|68569212:1|60660100:1|30210728:1|44362806:1|2018498:1|25574129:1|42804781:1|77649013:1|75759638:1|61410468:1|53975736:1|52039988:1|40458234:1|68331396:1|50353647:1|48861459:1|76387081:1|77462090:1|18117820:1|48014391:1|12996688:1|34365435:1|28146616:1|7229299:1|29776844:1|35722148:1|37184310:1|55284920:1|15809416:1|72750114:1|46971392:1|32142794:1|50077010:1|32108107:1|61623699:1|67246521:1|3581754:1|16419343:1|33141449:1|17215646:1|21455741:1|4463904:1|1164024:1|26631545:1|31574445:1|79546841:1|28259586:1|20404621:1|54747177:1|70820582:1
PL|57454545:1|31226407:1|51416500:1|28978568:1|74296027:1|13490661:1|56080156:1|8797831:1|73190333:1|46741508:1|42681575:1|22490358:1|20705789:1|14045217:1|16984878:1|20923122:1|23016744:1|66580795:1|6885041:1|62402842:1|23078472:1|22321283:1|19540798:1|76802243:1|50394607:1|7144491:1|14977922:1|65962631:1|13179257:1|29441619:1|77276813:1|3507999:1|27251482:1|64297274:1|28406457:1|76723767:1|69186700:1|9751461:1|4194039:1|6068448:1|73708604:1|67904038:1|50932784:1|34782570:1|21148602:1|61507959:1|62445011:1|50201284:1|41586388:1|54570296:1
